Crypto Name,Coin,Price,24H Change,24H Volume,Market Cap
Bitcoin,BTC,"$18,054.91",+3.67%,$26.53 B,$342.54 B
Ethereum,ETH,"$1,343.57",+3.95%,$8.89 B,$161.58 B
Tether,USDT,$1.02,-0.02%,$37.47 B,$65.78 B
USD Coin,USDC,$1.00,-0.04%,$3.92 B,$45.07 B
BNB,BNB,$280.82,+0.90%,$1.86 B,$43.97 B
XRP,XRP,$0.3963,+1.71%,$1.13 B,$19.67 B
Binance USD,BUSD,$1.00,+0.03%,$10.79 B,$18.81 B
Dogecoin,DOGE,$0.09249,+1.13%,$734.01 M,$12.09 B
Cardano,ADA,$0.3196,+2.69%,$314.7 M,$10.79 B
Polygon,MATIC,$0.9443,+2.21%,$425.03 M,$8.08 B
Polkadot,DOT,$5.38,+2.70%,$245.22 M,$6.05 B
Dai,DAI,$1.01,-0.08%,$306.34 M,$5.86 B
Litecoin,LTC,$79.56,+2.07%,$679.33 M,$5.62 B
Wrapped TRON,WTRX,$0.05456,+2.71%,"$993,778",$5.55 B
Solana,SOL,$14.58,+5.89%,$319.53 M,$5.1 B
Shiba Inu,SHIB,$0.000009432,+4.29%,$171.85 M,$5.06 B
TRON,TRX,$0.05476,+2.92%,$259.64 M,$5.04 B
HEX,HEX,$0.02829,+4.04%,$4.59 M,$4.91 B
Uniswap,UNI,$6.21,+3.23%,$85.56 M,$4.64 B
Lido stETH,stETH,"$1,236.16",+0.68%,$11.22 M,$4.31 B
Avalanche,AVAX,$13.99,+6.72%,$297.27 M,$4.28 B
UNUS SED LEO,LEO,$3.71,-0.28%,$2.29 M,$3.54 B
Wrapped Bitcoin,WBTC,"$18,031.43",+3.60%,$110.56 M,$3.54 B
Chainlink,LINK,$7.00,+3.74%,$303.56 M,$3.5 B
Toncoin,TON,$2.40,+14.27%,$81.41 M,$2.93 B
Cosmos,ATOM,$9.97,+2.51%,$159.57 M,$2.8 B
Monero,XMR,$151.42,+0.99%,$83.51 M,$2.76 B
Ethereum Classic,ETC,$19.64,+4.98%,$161.27 M,$2.67 B
Stellar,XLM,$0.08523,+0.48%,$70.53 M,$2.18 B
Bitcoin Cash,BCH,$111.98,+4.09%,$197.54 M,$2.12 B
Algorand,ALGO,$0.2275,+3.44%,$58.56 M,$1.6 B
Cronos,CRO,$0.06385,+1.49%,$18.95 M,$1.59 B
Quant,QNT,$125.18,+2.24%,$36.92 M,$1.48 B
Filecoin,FIL,$4.42,+2.55%,$84.02 M,$1.48 B
ApeCoin,APE,$4.08,-5.95%,$284.63 M,$1.45 B
NEAR Protocol,NEAR,$1.73,+4.42%,$105.05 M,$1.43 B
OKB,OKB,$23.24,+10.22%,$29.08 M,$1.39 B
VeChain,VET,$0.01984,+1.72%,$38.27 M,$1.38 B
Hedera,HBAR,$0.0501,+1.25%,$20.54 M,$1.18 B
Internet Computer,ICP,$4.30,+0.58%,$31.54 M,$1.17 B
EOS,EOS,$1.01,+3.20%,$133.89 M,$1.08 B
Elrond,EGLD,$44.40,-1.27%,$22.68 M,$1.04 B
Frax,FRAX,$0.999,+0.03%,$13.64 M,$1.02 B
Wrapped BNB,WBNB,$273.27,+0.19%,$180.63 M,$1.03 B
Luna Classic,LUNC,$0.0001786,-0.22%,$81.08 M,$1.01 B
Flow,FLOW,$0.9763,+2.27%,$41.13 M,$992.5 M
Huobi Token,HT,$6.46,+3.00%,$13.57 M,$990.67 M
Bitcoin BEP2,BTCB,"$17,766.88",+3.54%,$14.28 M,$949.86 M
Pax Dollar,USDP,$0.9998,+0.07%,$4.68 M,$945.5 M
Trust Wallet Token,TWT,$2.26,-3.20%,$146.73 M,$940.49 M
